id,name,ministry_id/id,category_id/id
sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture,Direction générale de la Culture,sn_min_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,sn_cat_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions
sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__secretariat_technique_du_comite_national_de_suivi_du_contenu_local,Secrétariat technique du Comité national de suivi du Contenu local,sn_min_ministere_de_l_energie_du_petrole_et_des_mines,sn_cat_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches
sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie,Direction générale de l’Energie,sn_min_ministere_de_l_energie_du_petrole_et_des_mines,sn_cat_ministere_de_l_energie_du_petrole_et_des_mines__directions
sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_des_hydrocarbures,Direction générale des Hydrocarbures,sn_min_ministere_de_l_energie_du_petrole_et_des_mines,sn_cat_ministere_de_l_energie_du_petrole_et_des_mines__directions
sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_des_mines_et_de_la_geologie,Direction générale des Mines et de la Géologie,sn_min_ministere_de_l_energie_du_petrole_et_des_mines,sn_cat_ministere_de_l_energie_du_petrole_et_des_mines__directions
sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_du_controle_et_de_la_surveillance_des_operations,Direction générale du Contrôle et de la Surveillance des Opérations,sn_min_ministere_de_l_energie_du_petrole_et_des_mines,sn_cat_ministere_de_l_energie_du_petrole_et_des_mines__directions
sn_dir_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__directions__direction_generale_du_developpement_communautaire_et_de_la_promotion_de,Direction générale du Développement communautaire et de la Promotion de,sn_min_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites,sn_cat_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__directions
sn_dir_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__directions_regionales__direction_generale_de_l_action_sociale,Direction générale de l’Action sociale,sn_min_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites,sn_cat_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__directions_regionales
sn_dir_ministere_de_la_jeunesse_et_des_sports__directions__30direction_generale_des_sports,30Direction générale des Sports,sn_min_ministere_de_la_jeunesse_et_des_sports,sn_cat_ministere_de_la_jeunesse_et_des_sports__directions
sn_dir_ministere_de_la_jeunesse_et_des_sports__directions__direction_generale_de_la_jeunesse,Direction générale de la Jeunesse,sn_min_ministere_de_la_jeunesse_et_des_sports,sn_cat_ministere_de_la_jeunesse_et_des_sports__directions
sn_dir_ministere_de_la_justice__directions__5direction_generale_de_la_protection_judiciaire_et_sociale,5Direction générale de la Protection judiciaire et sociale,sn_min_ministere_de_la_justice,sn_cat_ministere_de_la_justice__directions
sn_dir_ministere_de_la_justice__directions__direction_generale_de_l_administration_penitentiaire,Direction générale de l’Administration pénitentiaire,sn_min_ministere_de_la_justice,sn_cat_ministere_de_la_justice__directions
sn_dir_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions__direction_generale_des_constructions,Direction générale des Constructions,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire,sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions
sn_dir_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions__direction_generale_des_infrastructures_routieres_et_du_desenclavement,Direction générale des Infrastructures Routières et du Désenclavement,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire,sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions
sn_dir_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions__direction_generale_de_la_formation_professionnelle_et_technique,Direction générale de la Formation professionnelle et technique,sn_min_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique,sn_cat_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions
sn_dir_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions__direction_generale_du_cadre_de_vie,Direction générale du Cadre de vie,sn_min_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique,sn_cat_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions
sn_dir_ministere_de_l_hydraulique_et_de_l_assainissement__directions__direction_generale_de_la_sante,Direction générale de la Santé,sn_min_ministere_de_l_hydraulique_et_de_l_assainissement,sn_cat_ministere_de_l_hydraulique_et_de_l_assainissement__directions
sn_dir_ministere_de_l_hydraulique_et_de_l_assainissement__directions__direction_generale_des_etablissements_de_sante,Direction générale des Etablissements de Santé,sn_min_ministere_de_l_hydraulique_et_de_l_assainissement,sn_cat_ministere_de_l_hydraulique_et_de_l_assainissement__directions
sn_dir_ministere_de_l_interieur_et_de_la_securite_publique__directions__direction_generale_de_la_police_nationale,Direction générale de la Police nationale,sn_min_ministere_de_l_interieur_et_de_la_securite_publique,sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__directions
sn_dir_ministere_de_l_interieur_et_de_la_securite_publique__directions__direction_generale_de_l_administration_territoriale,Direction générale de l’Administration territoriale,sn_min_ministere_de_l_interieur_et_de_la_securite_publique,sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__directions
sn_dir_ministere_de_l_interieur_et_de_la_securite_publique__directions__direction_generale_des_elections,Direction générale des Elections,sn_min_ministere_de_l_interieur_et_de_la_securite_publique,sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__directions
sn_dir_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions__direction_generale_de_la_reglementation_des_constructions_et_de_l_habitat,Direction générale de la Réglementation des Constructions et de l’Habitat,sn_min_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de,sn_cat_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions
sn_dir_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions__direction_generale_de_l_urbanisme_et_de_l_architecture,Direction générale de l’Urbanisme et de l’Architecture,sn_min_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de,sn_cat_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions
sn_dir_ministere_des_finances_et_du_budget__directions__direction_generale_de_la_recherche_et_de_l_innovation,Direction générale de la Recherche et de l’Innovation,sn_min_ministere_des_finances_et_du_budget,sn_cat_ministere_des_finances_et_du_budget__directions
sn_dir_ministere_des_finances_et_du_budget__directions__direction_generale_de_l_enseignement_superieur,Direction générale de l’Enseignement supérieur,sn_min_ministere_des_finances_et_du_budget,sn_cat_ministere_des_finances_et_du_budget__directions
sn_dir_ministere_des_forces_armees__services_propres__etat_major_general_des_armees,Etat-Major général des Armées,sn_min_ministere_des_forces_armees,sn_cat_ministere_des_forces_armees__services_propres
sn_dir_ministere_des_transports_terrestres_et_aeriens__directions__direction_generale_des_transports_routiers,Direction générale des Transports routiers,sn_min_ministere_des_transports_terrestres_et_aeriens,sn_cat_ministere_des_transports_terrestres_et_aeriens__directions
sn_dir_presidence_de_la_republique__item__societe_de_gestion_des_infrastructures_publiques_dans_les_poles_urbains_de,Société de Gestion des Infrastructures publiques dans les Pôles Urbains de,sn_min_presidence_de_la_republique,
sn_dir_primature__autres_administrations__haute_autorite_du_waqf,Haute Autorité du WAQF,sn_min_primature,sn_cat_primature__autres_administrations
sn_dir_primature__cabinet_du_premier_ministre_et_services_rattaches__secretariat_technique_du_conseil_national_de_securite_alimentaire,Secrétariat technique du Conseil national de Sécurité alimentaire,sn_min_primature,sn_cat_primature__cabinet_du_premier_ministre_et_services_rattaches
sn_dir_primature__secretariat_general_du_gouvernement_et_services_rattaches__direction_generale_du_service_civique_national_et_du_volontariat,- Direction générale du Service civique national et du Volontariat,sn_min_primature,sn_cat_primature__secretariat_general_du_gouvernement_et_services_rattaches
sn_dir_primature__secretariat_general_du_gouvernement_et_services_rattaches__direction_generale_de_la_surveillance_et_du_controle_de_l_occupation_du_sol,Direction générale de la Surveillance et du Contrôle de l’Occupation du Sol,sn_min_primature,sn_cat_primature__secretariat_general_du_gouvernement_et_services_rattaches
sn_dir_presidence_de_la_republique__autres_administrations__delegation_generale_a_la_promotion_des_poles_urbains_de_diamniadio_et_du_lac_rose,Délégation générale à la Promotion des Pôles urbains de Diamniadio et du Lac Rose,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__autres_administrations
sn_dir_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_communication_et_porte_parolat,Pôle Communication et Porte-parolat,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
sn_dir_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_des_affaires_protocolaires,Pôle des affaires protocolaires,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
sn_dir_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_diplomatique,Pôle diplomatique,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
sn_dir_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_juridique,Pôle Juridique,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
sn_dir_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__pole_securite,Pôle Sécurité,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
sn_dir_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches__secretariat_du_conseil_superieur_de_la_cour_des_comptes,Secrétariat du Conseil supérieur de la Cour des Comptes,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_du_president_de_la_republique_et_services_rattaches
sn_dir_presidence_de_la_republique__cabinet_militaire_du_president_de_la_republique__haute_autorite_des_aeroports_du_senegal_haas,➢ Haute Autorité des Aéroports du Sénégal (HAAS),sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__cabinet_militaire_du_president_de_la_republique
sn_dir_presidence_de_la_republique__secretariat_general_de_la_presidence_de_la_republique_et_services_rattaches__direction_generale_du_chiffre_et_de_la_securite_des_systemes_d_information,Direction générale du Chiffre et de la Sécurité des Systèmes d’information,sn_min_presidence_de_la_republique,sn_cat_presidence_de_la_republique__secretariat_general_de_la_presidence_de_la_republique_et_services_rattaches
sn_dir_service_public__directions__29direction_generale_du_travail_et_de_la_securite_sociale,29Direction générale du Travail et de la Sécurité sociale,sn_min_service_public,sn_cat_service_public__directions
sn_dir_service_public__directions__direction_generale_de_la_fonction_publique,Direction générale de la Fonction publique,sn_min_service_public,sn_cat_service_public__directions
